tag,form,prefix,suffix
ARM,republic,,共和国

AZR,republic,,共和国

BAH,commonwealth,,国

BAY,kingdom,,王国

BDN,reich,,国

BLR,peoples_republic,,人民共和国

BOT,republic,,共和国

BRD,kingdom,,王国

BYA,republic,,共和国

CAM,kingdom,,王国

CHA,republic,,共和国

CHI,minguo,,民国

CAY,republic,,共和国

CAT,republic,,共和国

CHL,socialist_republic,,社会主義共和国

CHU,republic,,共和国

CKK,republic,,共和国

CMR,republic,,共和国

COG,republic,,共和国

COR,republic,,共和国

CRC,republic,,共和国

CYP,republic,,共和国

DAG,republic,,共和国

DAH,republic,,共和国

DAL,kingdom,,王国

DJI,republic,,共和国

DNZ,free_city,自由都市,

DXL,confederation_states,,連合国

PRE,kingdom,,王国

EGR,democratic_republic,,民主共和国

EQG,republic,,共和国

ERI,republic,,共和国

EST,republic,,共和国

FEA,republic,,共和国

FIJ,kingdom,,王国

FRA,jacobinist_republic,,・ジャコバン主義共和国

FRA,republic,,共和国

FSM,federated_states,,連邦

GAB,republic,,共和国

GAM,republic,,共和国

GER,national_socialist_republic,,国民社会主義共和国

GDL,republic,,共和国

GER,,,

GHA,republic,,共和国

GLC,republic,,共和国

GNA,republic,,共和国

GNB,republic,,共和国

GUM,republic,,共和国

GYA,republic,,共和国

HAW,kingdom,,王国

HOL,kingdom,,王国

HRZ,state,,国

IRQ,hashemite_kingdom,,・ハシミテ王国

ISR,state,,国

IVO,republic,,共和国

JAM,state,,国

ITA,social_republic,,社会共和国

KAT,state,,国

KBK,republic,,共和国

KEN,republic,,共和国

GER,naval_general_headquarters,,海軍司令部

KIV,liberation_front,,解放戦線

NKR,peoples_republic,,人民共和国

KKP,republic,,共和国

KOM,republic,,共和国

KOS,republic,,共和国

KSH,republic,,共和国

KUB,republic,,共和国

KUR,republic,,共和国

KUW,sheikhdom,,首長国

KYR,republic,,共和国

LAO,kingdom,,王国

LAT,republic,,共和国

LEB,republic,,共和国

LIB,republic,,共和国

MAC,republic,,共和国

MAD,republic,,共和国

MAL,union,,連合

MAN,united_states,,合衆国

MCG,republic,,共和国

MLI,republic,,共和国

MLD,sultanate,,・スルタン国

MLT,republic,,共和国

MLW,republic,,共和国

MNT,kingdom,,王国

MOL,principality,,公国

MON,state,,国

MRT,islamic_republic,,・イスラム共和国

MZB,republic,,共和国

NAV,kingdom,,王国

NCC,republic,,共和国

NEN,republic,,共和国

NEP,kingdom,,王国

NGA,federal_republic,,連邦共和国

NGE,republic,,共和国

NIC,republic,,共和国

NIR,republic,,共和国

NOA,republic,,共和国

NOR,kingdom,,王国

OCC,republic,,共和国

OMA,sultanate,,・スルタン国

PAK,islamic_republic,,・イスラム共和国

PAL,state,,国

PAN,republic,,共和国

PNG,independent_state,,独立国

PUE,state,,国

QAT,state,,国

RUS,republic,,共和国

RWA,kingdom,,王国

SAM,independent_state,,独立国

SAU,kingdom,,王国

SAX,kingdom,,王国

SCO,kingdom,,王国

SEN,republic,,共和国

SHL,duchy,,公国

SIB,socialist_republic,,社会主義共和国

SIE,republic,,共和国

SIL,duchy,,公国

SLO,republic,,共和国

SLV,republic,,共和国

SRL,republic,,共和国

SUD,republic,,共和国

SYR,arab_republic,,・アラブ共和国

TAH,kingdom,,王国

TAJ,republic,,共和国

TAT,republic,,共和国

TAY,republic,,共和国

TIB,kingdom,,王国

TOG,republic,,共和国

TRA,principality,,公国

TRC,sheikhdoms,,首長国

TRI,republic,,共和国

TUN,kingdom,,王国

TUR,republic,,共和国

TUV,republic,,共和国

TZN,united_republic,,連合共和国

UDM,republic,,共和国

UGA,republic,,共和国

VIN,empire,,帝国

VLA,city_state,,市国

VLG,republic,,共和国

VOL,republic,,共和国

WES,republic,,共和国

RHI,confederation,,連邦

GER,battle_league,,闘争連盟

YEM,mutawakkilite_kingdom,,・ムタワッキリテ王国

YUG,kingdom,,王国

YUN,military_clique,,軍閥

ZAN,republic,,共和国

ZIM,republic,,共和国

UZB,republic,,共和国

IND,republic,,共和国

TRK,SOV_socialist_republic,,・ソビエト社会主義共和国

SRD,kingdom,,王国

RAT,international_republic,国際,共和国

RAT,socialist_republics_union,,社会主義共和国連邦

IRE,republic,,共和国

NZL,republic,,共和国

SAF,republic,,共和国

AST,commonwealth,,連邦

CAN,commonwealth,,連邦

SOM,federation,,連邦

EAF,federation,,連邦

NGA,federal_republic,,連邦共和国

NMB,republic,,共和国

CAR,republic,,共和国

BLT,united_republic,,連合共和国

LIT,republic,,共和国

SGH,military_clique,,軍閥

TEX,emergency_government,,緊急政府

CHI,united_provinces,,連合省

MAN,liberated_area,,自由地区

RUS,federal_empire,,連邦帝国

RHI,protectorate,,保護領

CAC,federation,,連邦

TUS,grand_duchy,,大公国

VAT,city_state,,市国

VNC,most_serene_republic,晴朗極まる共和国,

KHA,republic,,共和国

AFA,republic,,共和国

AMH,republic,,共和国

BEG,republic,,共和国

GBA,republic,,共和国

HAR,republic,,共和国

ORO,republic,,共和国

RIF,tribes_confederated_republic,,部族連合共和国

SID,republic,,共和国

TIG,republic,,共和国

STE,principality,,公国

BUC,principality,,公国

COT,free_city,自由都市,

GAG,grafschaft,,伯国

IST,margraviate,,辺境伯領

KAE,principality,,公国

KRA,principality,,公国

NIE,arch_duchy,,大公国

OBE,arch_duchy,,大公国

SAL,principality,,公国

TYR,grafschaft,,伯国

VOR,grafschaft,,伯国

AUS,arch_duchy,,大公国

COT,freie_reichsstadt,,帝国自由都市

