tag,japanese,color,culture,continent,type
CMR,カメルーン,0 122 94,Africa,アフリカ,バニラ
COG,コンゴ,216 212 73,Africa,アフリカ,バニラ
COL,コロンビア,222 187 91,South America,新大陸,バニラ
COR,コルシカ,106 178 46,Western Europe,ヨーロッパ,バニラ
COS,コスタリカ,152 128 43,South America,新大陸,バニラ
CRC,キュラソー,124 138 73,South America,新大陸,バニラ
CRI,クリミア,0 163 221,Eastern Europe,ヨーロッパ,バニラ
CRO,クロアチア,23 23 150,Eastern Europe,ヨーロッパ,バニラ
CSA,ディキシーランド,145 163 176,Western Europe,新大陸,バニラ
CUB,キューバ,140 65 166,South America,新大陸,バニラ
CYP,キプロス,237 128 0,Western Europe,ヨーロッパ,バニラ
CZE,チェコ,17 69 126,Eastern Europe,ヨーロッパ,バニラ
DAG,ダゲスタン,0 145 64,Eastern Europe,ヨーロッパ,バニラ
DAH,ダホメ,139 122 53,Africa,アフリカ,バニラ
DEN,デンマーク,198 12 48,Western Europe,ヨーロッパ,バニラ
DJI,ジブチ,76 176 168,Africa,アフリカ,バニラ
DNZ,ダンツィヒ,191 0 0,Eastern Europe,ヨーロッパ,バニラ
DOM,ドミニカーナ,0 45 98,South America,新大陸,バニラ
DON,ドン,247 197 0,Eastern Europe,ヨーロッパ,バニラ
ECU,エクアドル,249 146 98,South America,新大陸,バニラ
EGR,東ドイツ,147 0 0,Eastern Europe,ヨーロッパ,バニラ
EGY,エジプト,192 147 0,Africa,アフリカ,バニラ
ELS,エルサルバドル,0 71 171,South America,新大陸,バニラ
ENG,イングランド,205 32 44,Commonwealth,ヨーロッパ,バニラ
EQG,赤道ギニア,0 115 206,Africa,アフリカ,バニラ
ERI,エリトリア,170 211 232,Africa,アフリカ,バニラ
EST,エストニア,0 114 206,Eastern Europe,ヨーロッパ,バニラ
ETH,エチオピア,174 206 65,Africa,アフリカ,バニラ
FEA,極東,1 28 88,Asia,アジア,バニラ
FIJ,フィジー,105 179 231,Asia,大洋州,バニラ
FIN,フィンランド,205 212 228,Eastern Europe,ヨーロッパ,バニラ
FRA,フランス,0 35 149,Western Europe,ヨーロッパ,バニラ
FSM,ミクロネシア,118 179 222,Asia,大洋州,バニラ
GAB,ガボン,58 117 196,Africa,アフリカ,バニラ
GAM,ガンビア,58 119 40,Africa,アフリカ,バニラ
GDL,グアドループ,131 196 152,South America,新大陸,バニラ
GEO,グルジア,255 150 150,Middle East,アジア,バニラ
GER,ドイツ,102 89 86,Western Europe,ヨーロッパ,バニラ
GHA,ガーナ,116 132 31,Africa,アフリカ,バニラ
GLC,ガリシア,0 153 204,Western Europe,ヨーロッパ,バニラ
GNA,ギニア,0 148 96,Africa,アフリカ,バニラ
GNB,ギニアビサウ,126 183 47,Africa,アフリカ,バニラ
GRE,ギリシャ,10 80 161,Eastern Europe,ヨーロッパ,バニラ
GUA,グアテマラ,72 49 112,South America,新大陸,バニラ
GUM,グアム,60 240 100,Asia,大洋州,バニラ
GXC,広西,129 142 158,Asia,アジア,バニラ
GYA,ガイアナ,255 204 153,South America,新大陸,バニラ
HAI,ハイチ,174 113 113,South America,新大陸,バニラ
HAN,ハノーファー,255 206 8,Western Europe,ヨーロッパ,バニラ
HAW,ハワイ,239 239 0,Asia,大洋州,バニラ
HND,ヒンドゥスタン,239 201 2,Asia,アジア,バニラ
HOL,ホラント,255 154 0,Western Europe,ヨーロッパ,バニラ
HON,ホンジュラス,128 145 65,South America,新大陸,バニラ
HRZ,ヘルツェゴビナ,3 102 56,Eastern Europe,ヨーロッパ,バニラ
HUN,ハンガリー,205 42 62,Eastern Europe,ヨーロッパ,バニラ
ICE,アイスランド,100 125 175,Western Europe,ヨーロッパ,バニラ
INS,インドネシア,40 50 120,Asia,アジア,バニラ
IRE,アイルランド,22 155 98,Western Europe,ヨーロッパ,バニラ
IRQ,イラク,178 114 99,Middle East,アジア,バニラ
ISR,イスラエル,0 73 144,Middle East,アジア,バニラ
ITA,イタリア,0 146 70,Western Europe,ヨーロッパ,バニラ
IVO,コートジボワール,247 127 0,Africa,アフリカ,バニラ
JAM,ジャマイカ,180 220 0,South America,新大陸,バニラ
JAP,日本,230 230 230,Asia,アジア,バニラ
JOR,ヨルダン,111 55 78,Middle East,アジア,バニラ
KAL,カルムイク,255 199 44,Eastern Europe,ヨーロッパ,バニラ
KAR,カレリア,0 156 170,Eastern Europe,ヨーロッパ,バニラ
KAZ,カザフスタン,0 175 202,Asia,アジア,バニラ
KBK,カバルダ＝バルカル,115 193 164,Eastern Europe,ヨーロッパ,バニラ
KEN,ケニア,145 103 14,Africa,アフリカ,バニラ
KHI,ヒヴァ,16 46 42,Asia,アジア,バニラ
KKP,カラカルパクスタン,255 195 29,Asia,アジア,バニラ
KOM,コミ,3 124 97,Eastern Europe,ヨーロッパ,バニラ
KOR,韓,41 23 110,Asia,アジア,バニラ
KOS,コソボ,208 166 80,Eastern Europe,ヨーロッパ,バニラ
KSH,カシュビア,124 112 0,Eastern Europe,ヨーロッパ,バニラ
KUB,クバン,217 21 123,Eastern Europe,ヨーロッパ,バニラ
KUR,クルディスタン,234 179 30,Middle East,アジア,バニラ
KUW,クウェート,153 76 0,Middle East,アジア,バニラ
KYR,キルギス,255 116 0,Asia,アジア,バニラ
LAO,ラオス,176 102 136,Asia,アジア,バニラ
LAT,ラトビア,158 48 57,Eastern Europe,ヨーロッパ,バニラ
LBA,リビア,35 158 70,Africa,アフリカ,バニラ
LEB,レバノン,130 150 60,Middle East,アジア,バニラ
LIB,リベリア,76 53 104,Africa,アフリカ,バニラ
LIT,リトアニア,253 185 19,Eastern Europe,ヨーロッパ,バニラ
LUX,ルクセンブルク,0 161 222,Western Europe,ヨーロッパ,バニラ
MAC,マケドニア,210 0 0,Eastern Europe,ヨーロッパ,バニラ
MAD,マダガスカル,189 113 112,Africa,アフリカ,バニラ
MAL,マラヤ,213 169 121,Asia,アジア,バニラ
MAN,満州,255 120 71,Asia,アジア,バニラ
MCG,中部コンゴ,73 103 124,Africa,アフリカ,バニラ
MEK,メクレンブルク,252 195 0,Western Europe,ヨーロッパ,バニラ
MEL,マリ・エル,233 200 196,Eastern Europe,ヨーロッパ,バニラ
MEN,蒙古,185 255 152,Asia,アジア,バニラ
MEX,メキシコ,104 152 83,South America,新大陸,バニラ
MLD,モルディブ,204 0 102,Asia,アジア,バニラ
MLI,マリ,20 181 58,Africa,アフリカ,バニラ
MLT,マルタ,211 207 173,Western Europe,ヨーロッパ,バニラ
MLW,マラウィ,153 204 0,Africa,アフリカ,バニラ
MNT,モンテネグロ,104 182 182,Eastern Europe,ヨーロッパ,バニラ
MOL,モルダヴィア,199 0 103,Eastern Europe,ヨーロッパ,バニラ
MON,モンゴル,92 92 92,Asia,アジア,バニラ
MOR,モロッコ,193 39 45,Africa,アフリカ,バニラ
MRT,モーリタニア,198 174 11,Africa,アフリカ,バニラ
MZB,モザンビーク,255 186 5,Africa,アフリカ,バニラ
NAV,ナバラ,218 18 26,Western Europe,ヨーロッパ,バニラ
NCC,北コーカサス,54 159 48,Eastern Europe,ヨーロッパ,バニラ
NEN,ネネツ,112 142 206,Eastern Europe,ヨーロッパ,バニラ
NEP,ネパール,152 130 191,Asia,アジア,バニラ
NGA,ナイジェリア,0 135 81,Africa,アフリカ,バニラ
NGE,ニジェール,224 82 6,Africa,アフリカ,バニラ
NIC,ニカラグア,146 179 191,South America,新大陸,バニラ
NIR,北アイルランド,255 153 51,Commonwealth,ヨーロッパ,バニラ
NMB,ナミビア,0 53 128,Africa,アフリカ,バニラ
NOA,北オセチア,243 104 27,Eastern Europe,ヨーロッパ,バニラ
NOR,ノルウェー,119 41 74,Western Europe,ヨーロッパ,バニラ
NZL,ニュージーランド,69 86 193,Commonwealth,大洋州,バニラ
OCC,オクシタニア,105 240 240,Western Europe,ヨーロッパ,バニラ
OMA,オマーン,98 134 153,Middle East,アジア,バニラ
PAK,パキスタン,1 65 28,Asia,アジア,バニラ
PAL,パレスチナ,170 125 80,Middle East,アジア,バニラ
PAN,パナマ,180 152 177,South America,新大陸,バニラ
PAR,パラグアイ,57 113 228,South America,新大陸,バニラ
PER,ペルシャ,71 113 97,Middle East,アジア,バニラ
PHI,フィリピン,102 43 89,Asia,アジア,バニラ
PNG,パプアニューギニア,153 0 76,Asia,大洋州,バニラ
POL,ポーランド,227 66 52,Eastern Europe,ヨーロッパ,バニラ
POR,ポルトガル,0 102 0,Western Europe,ヨーロッパ,バニラ
PRE,プロイセン,160 160 160,Western Europe,ヨーロッパ,バニラ
PRU,ペルー,196 189 204,South America,新大陸,バニラ
PUE,プエルトリコ,153 153 255,South America,新大陸,バニラ
QAT,カタール,128 0 0,Middle East,アジア,バニラ
ROM,ルーマニア,252 209 22,Eastern Europe,ヨーロッパ,バニラ
RWA,ルワンダ,185 187 2,Africa,アフリカ,バニラ
SAF,南アフリカ,195 107 160,Africa,アフリカ,バニラ
SAM,サモア,205 20 95,Asia,大洋州,バニラ
SAU,サウード,0 108 53,Middle East,アジア,バニラ
SAX,ザクセン,22 108 35,Western Europe,ヨーロッパ,バニラ
SCO,スコットランド,0 101 189,Commonwealth,ヨーロッパ,バニラ
SEN,セネガル,76 165 64,Africa,アフリカ,バニラ
SER,セルビア,12 64 118,Eastern Europe,ヨーロッパ,バニラ
SHL,シュレースヴィヒ,51 51 255,Western Europe,ヨーロッパ,バニラ
SHX,山西,226 188 35,Asia,アジア,バニラ
SIA,シャム,171 190 152,Asia,アジア,バニラ
SIE,シエラレオネ,180 230 189,Africa,アフリカ,バニラ
SIK,新彊,214 190 74,Asia,アジア,バニラ
SIL,シレジア,255 207 12,Eastern Europe,ヨーロッパ,バニラ
SKH,サハ,158 213 255,Asia,アジア,バニラ
SLO,スロバキア,158 161 188,Eastern Europe,ヨーロッパ,バニラ
SLV,スロベニア,138 180 243,Eastern Europe,ヨーロッパ,バニラ
SOL,ソロモン,20 20 90,Asia,大洋州,バニラ
SOM,ソマリア,0 128 131,Africa,アフリカ,バニラ
SOV,ソビエト,125 13 24,Eastern Europe,ヨーロッパ,バニラ
SPR,スペイン,242 154 6,Western Europe,ヨーロッパ,バニラ
SRL,スリランカ,141 21 58,Asia,アジア,バニラ
SUD,スーダン,135 144 180,Africa,アフリカ,バニラ
SUR,スリナム,55 126 63,South America,新大陸,バニラ
SWE,スウェーデン,0 106 167,Western Europe,ヨーロッパ,バニラ
SWI,スイス,255 0 0,Western Europe,ヨーロッパ,バニラ
SYR,シリア,100 100 150,Middle East,アジア,バニラ
TAH,タヒチ,206 17 38,Asia,大洋州,バニラ
TAJ,タジキスタン,51 102 0,Asia,アジア,バニラ
TAT,タタールスタン,183 150 115,Eastern Europe,ヨーロッパ,バニラ
TAY,タイミル,0 129 196,Asia,アジア,バニラ
TIB,チベット,168 166 167,Asia,アジア,バニラ
TMS,トルクメニスタン,0 76 153,Asia,アジア,バニラ
TOG,トーゴ,0 106 78,Africa,アフリカ,バニラ
TRA,トランシルヴァニア,0 0 156,Eastern Europe,ヨーロッパ,バニラ
TRC,トルーシャル・オマーン,102 102 0,Middle East,アジア,バニラ
TRI,トリニダード・トバゴ,96 96 96,South America,新大陸,バニラ
TUN,チュニジア,146 134 57,Africa,アフリカ,バニラ
TUR,トルコ,227 10 23,Middle East,アジア,バニラ
TUV,トゥヴァ,99 177 229,Asia,アジア,バニラ
TZN,タンザニア,215 204 28,Africa,アフリカ,バニラ
UDM,ウドムルト,165 141 138,Eastern Europe,ヨーロッパ,バニラ
UGA,ウガンダ,174 73 1,Africa,アフリカ,バニラ
UKR,ウクライナ,0 80 230,Eastern Europe,ヨーロッパ,バニラ
URG,ウルグアイ,113 144 207,South America,新大陸,バニラ
USA,アメリカ,56 86 134,Western Europe,新大陸,バニラ
UZB,ウズベキスタン,0 102 102,Asia,アジア,バニラ
VEN,ベネズエラ,82 104 122,South America,新大陸,バニラ
VIN,ベトナム,230 223 50,Asia,アジア,バニラ
VLA,ウラジオストク,20 134 20,Asia,アジア,バニラ
VLG,ヴォルガ,147 143 4,Eastern Europe,ヨーロッパ,バニラ
VOL,オートボルタ,180 170 170,Africa,アフリカ,バニラ
WES,西サハラ,255 178 102,Africa,アフリカ,バニラ
WGR,西ドイツ,128 128 128,Western Europe,ヨーロッパ,バニラ
WLS,ウェールズ,0 171 57,Commonwealth,ヨーロッパ,バニラ
WUR,ヴュルテンベルク,189 18 32,Western Europe,ヨーロッパ,バニラ
XIB,西北,105 69 85,Asia,アジア,バニラ
YAM,ヤマリア,0 128 255,Asia,アジア,バニラ
YEM,イエメン,233 155 81,Middle East,アジア,バニラ
YGR,ユグラ,13 146 136,Asia,アジア,バニラ
YUG,ユーゴスラビア,72 73 126,Eastern Europe,ヨーロッパ,バニラ
YUN,雲南,143 20 20,Asia,アジア,バニラ
ZAM,ザンビア,8 48 0,Africa,アフリカ,バニラ
ZIM,ジンバブエ,0 100 0,Africa,アフリカ,バニラ
ARB,アラブ,192 147 0,Middle East,アジア,追加国家
DVN,ドラヴィダ・ナードゥ,128 0 0,Asia,アジア,追加国家
FNG,奉天,189 113 33,Asia,アジア,追加国家
GBR,グレートブリテン,201 56 93,Western Europe,ヨーロッパ,追加国家
HAS,ハシーム,163 30 35,Middle East,アジア,追加国家
IND,インド,255 102 0,Asia,アジア,追加国家
NAJ,ナジュド,13 98 62,Asia,アジア,追加国家
OTT,オスマン,203 32 39,Middle East,アジア,追加国家
RAT,レーテ,147 0 0,Eastern Europe,ヨーロッパ,追加国家
SDT,ズデーテン,55 0 0,Eastern Europe,ヨーロッパ,追加国家
SIU,四川,188 155 71,Asia,アジア,追加国家
TAR,トランスアムール,130 195 150,Asia,アジア,追加国家
TNG,タンガニスタン,188 100 67,Asia,アジア,追加国家
ZHI,直隷,124 124 124,Asia,アジア,追加国家
D01,,200 100 31,,,動的国家
D02,,80 150 179,,,動的国家
D03,,92 92 197,,,動的国家
D04,,154 69 116,,,動的国家
D05,,194 140 86,,,動的国家
D06,,195 149 155,,,動的国家
D07,,210 106 47,,,動的国家
D08,,105 147 86,,,動的国家
D09,,175 162 108,,,動的国家
D10,,124 140 162,,,動的国家
D11,,187 79 86,,,動的国家
D12,,69 157 208,,,動的国家
D13,,142 79 200,,,動的国家
D14,,122 179 97,,,動的国家
D15,,194 140 86,,,動的国家
