tag,form,prefix,suffix
HRZ,state,,国
HUN,kingdom,,王国
ICE,republic,,共和国
IND,republic,,共和国
IND,republic,,共和国
IND,revolt,,自由軍
INS,republic,,共和国
IRE,free_state,,自由国
IRE,republic,,共和国
IRQ,kingdom,,王国
ISR,state,,国
ITA,kingdom,,王国
IVO,republic,,共和国
JAM,state,,国
JAP,empire,,帝国
JOR,hashemite_kingdom,,・ハシミテ王国
KAL,republic,,共和国
KAR,republic,,共和国
KAZ,republic,,共和国
KBK,republic,,共和国
KEN,republic,,共和国
KHI,khanate,,・ハン国
KHI,republic,,共和国
KKP,republic,,共和国
KOM,republic,,共和国
KOR,empire,,帝国
KOS,republic,,共和国
KSH,republic,,共和国
KUB,cossack_republic,,・コサック共和国
KUB,republic,,共和国
KUR,republic,,共和国
KUW,sheikhdom,,首長国
KUW,state,,国
KYR,republic,,共和国
LAO,kingdom,,王国
LAT,republic,,共和国
LBA,kingdom,,王国
LEB,republic,,共和国
LIB,republic,,共和国
LIT,republic,,共和国
LUX,grand_duchy,,大公国
MAC,republic,,共和国
MAD,republic,,共和国
MAL,federated_states,,連邦
MAN,state,,国
MCG,republic,,共和国
MEK,grand_duchy,,大公国
MEL,republic,,共和国
MEN,autonomous_federation,,自治邦
MEX,united_states,,合衆国
MLD,sultanate,,・スルタン国
MLI,republic,,共和国
MLT,republic,,共和国
MLW,republic,,共和国
MOL,republic,,共和国
MON,state,,国
MOR,kingdom,,王国
MRT,isramic_republic,,・イスラム共和国
MZB,republic,,共和国
NAJ,kingdom,,王国
NAV,kingdom,,王国
NCC,emirate,,首長国
NCC,republic,,共和国
NEN,republic,,共和国
NEP,kingdom,,王国
NGA,republic,,共和国
NGE,republic,,共和国
NIC,republic,,共和国
NIR,duchy,,公国
NMB,republic,,共和国
NOA,republic,,共和国
NOR,insurgent,,国民軍
NOR,kingdom,,王国
NZL,kingdom,,王国
OCC,state,,国
OMA,sultanate,,・スルタン国
OTT,sublime_state,崇高なる,国
PAK,republic,,共和国
PAL,state,,国
PAN,republic,,共和国
PAR,republic,,共和国
PER,empire,,帝国
PHI,republic,,共和国
PNG,independent_state,,独立国
POL,republic,,共和国
POR,republic,,共和国
PRE,kingdom,,王国
PRU,republic,,共和国
PUE,state,,国
QAT,state,,国
RAT,republic,,共和国
ROM,kingdom,,王国
RWA,republic,,共和国
SAF,republic,,共和国
SAF,union,,連邦
SAM,independent_state,,独立国
SAU,kingdom,,王国
SAX,kingdom,,王国
SCO,kingdom,,王国
SDT,republic,,共和国
SEN,republic,,共和国
SER,kingdom,,王国
SHL,duchy,,公国
SHX,warlord,,軍閥
SIA,kingdom,,王国
SIE,republic,,共和国
SIK,ma_warlord,,馬軍閥
SIK,warlord,,軍閥
SIL,duchy,,公国
SIL,republic,,共和国
SIU,warlord,,軍閥
SKH,republic,,共和国
SLO,republic,,共和国
SLV,republic,,共和国
SOL,republic,,共和国
SOM,republic,,共和国
SOV,union_republics,,共和国連邦
SOV,union_republics_authoritarian_socialism,,社会主義共和国連邦
SOV,union_republics_libertarian_socialism,,社会主義共和国連邦
SPR,kingdom,,王国
SPR,republic,,共和国
SPR,state,,国
SRL,republic,,共和国
SUD,republic,,共和国
SUR,republic,,共和国
SWE,kingdom,,王国
SWI,confederation,,連邦
SYR,republic,,共和国
TAH,kingdom,,王国
TAJ,republic,,共和国
TAR,provisional_government,,臨時政府
TAR,republic,,共和国
TAT,republic,,共和国
TAY,republic,,共和国
TIB,state,,国
TMS,republic,,共和国
TNG,republic,,共和国
TOG,republic,,共和国
TRA,duchy,,公国
TRC,sheikhdoms,,首長国
TRI,republic,,共和国
TUN,kingdom,,王国
TUR,republic,,共和国
TUV,peoples_republic,,人民共和国
TUV,republic,,共和国
TZN,united_republic,,連合共和国
UDM,republic,,共和国
UGA,republic,,共和国
UKR,peoples_republic,,人民共和国
UKR,republic,,共和国
URG,oriental_republic,,東方共和国
USA,united_states,,合衆国
UZB,republic,,共和国
VEN,republic,,共和国
VIN,empire,,帝国
VLA,free_city,自由都市,
VLG,republic,,共和国
VOL,republic,,共和国
WES,republic,,共和国
WGR,republic,,共和国
WLS,duchy,,公国
WUR,kingdom,,王国
XIB,ma_warlord,,馬軍閥
XIB,warlord,,軍閥
YAM,republic,,共和国
YEM,mutawakkilite_kingdom,,・ムタワッキリテ王国
YGR,republic,,共和国
YUG,kingdom,,王国
YUN,warlord,,軍閥
ZAM,republic,,共和国
ZHI,warlord,,軍閥
ZIM,republic,,共和国
