tag,form,prefix,suffix
BOT,republic,,共和国
BRA,confederate_states,,連合国
BRA,empire,,帝国
BRA,united_states,,合衆国
BRB,republic,,共和国
BRD,republic,,共和国
BRI,republic,,共和国
BRM,comunist_party,,共産党
BRM,state,,国
BRM,union_republic,,連邦共和国
BRM,union_republic_classical_communism,,連邦社会主義共和国
BRM,union_republic_progressive_communism,,連邦社会主義共和国
BRN,peace_abode_state,,・ダルサラーム国
BSK,republic,,共和国
BUK,khanate,,・ハン国
BUL,free_territory,,自由地区
BUL,kingdom,,王国
BUL,republic,,共和国
BUL,republic_classical_communism,,人民共和国
BUL,republic_progressive_communism,,人民共和国
BUL,state,,国
BYA,republic,,共和国
CAL,republic,,共和国
CAM,kingdom,,王国
CAM,republic,,共和国
CAM,republic_classical_communism,,民主共和国
CAM,republic_progressive_communism,,民主共和国
CAN,commonwealth,,連邦
CAN,republic,,共和国
CAN,republic_classical_communism,,社会主義共和国
CAN,republic_progressive_communism,,社会主義共和国
CAR,republic,,共和国
CAR,republic_classical_communism,,社会主義共和国
CAR,republic_progressive_communism,,社会主義共和国
CAT,republic,,共和国
CAY,republic,,共和国
CCS,federation,,連邦
CCS,red_army,赤軍,方面軍
CCS,republic,,共和国
CEN,federation,,連邦
CHA,republic,,共和国
CHE,republic,,共和国
CHI,federal_republic,,連邦共和国
CHI,national_republic,,国民共和国
CHI,national_salvation_government,,民族救国政府
CHI,peoples_republic,,人民共和国
CHI,peoples_republic_1,,人民共和国
CHI,republic,,民国
CHI,republic_reformed_government,,民国維新政府
CHI,salvation_government,,救国政府
CHI,soviet_peoples_republic,,ソビエト人民共和国
CHI,united_states,,合衆国
CHL,republic,,共和国
CHN,national_front,,国民戦線
CHU,republic,,共和国
CKK,republic,,共和国
CMB,republic,,共和国
CMR,republic,,共和国
COG,democratic_republic,,民主共和国
COG,republic,,共和国
COL,republic,,共和国
COM,state,,国
COR,republic,,共和国
COS,republic,,共和国
COS,republic_classical_communism,,人民共和国
COS,republic_progressive_communism,,人民共和国
COW,duchy,,公国
CPV,republic,,共和国
CPV,republic_classical_communism,,民主共和国
CPV,republic_progressive_communism,,民主共和国
CRC,republic,,共和国
CRI,peoples_republic,,人民共和国
CRO,independent_state,,独立国
CRO,republic,,共和国
CRO,republic_classical_communism,,社会主義共和国
CRO,republic_progressive_communism,,社会主義共和国
CSC,republic,,共和国
CUB,republic,,共和国
CYP,republic,,共和国
CZE,republic,,共和国
CZE,republic_classical_communism,,社会主義共和国
CZE,republic_national_fascism,,国民共和国
CZE,republic_progressive_communism,,社会主義共和国
DAG,republic,,共和国
DAH,republic,,共和国
DAH,republic_classical_communism,,人民共和国
DAH,republic_progressive_communism,,人民共和国
DAL,republic,,共和国
DEN,kingdom,,王国
DEN,republic,,共和国
DEN,republic_classical_communism,,社会主義共和国
DEN,republic_progressive_communism,,社会主義共和国
DET,republic,,共和国
DJI,republic,,共和国
DMA,commonwealth,,国
DNZ,free_city,自由都市,
DOM,republic,,共和国
DOM,republic_classical_communism,,社会主義共和国
DOM,republic_progressive_communism,,社会主義共和国
DON,republic,,共和国
EAF,empire,,帝国
ECU,republic,,共和国
ECU,republic_classical_communism,,人民共和国
ECU,republic_progressive_communism,,人民共和国
EGR,democratic_republic,,民主共和国
EGY,kingdom,,王国
EGY,republic,,共和国
EGY,republic_classical_communism,,民主共和国
EGY,republic_progressive_communism,,民主共和国
EKA,republic,,共和国
ELS,republic,,共和国
ELS,republic_classical_communism,,民主共和国
ELS,republic_progressive_communism,,民主共和国
ENG,commonwealth,,共和国
ENG,kingdom,,王国
ENG,republic,,共和国
ENG,republic_1,,共和国
EQA,republic,,共和国
EQG,republic,,共和国
ERI,republic,,共和国
ERI,republic_classical_communism,,人民共和国
ERI,republic_progressive_communism,,人民共和国
ERI,state,,国
EST,republic,,共和国
EST,state,,国
ETH,empire,,帝国
ETH,federal_democratic_republic,,連邦民主共和国
ETR,republic,,共和国
FAE,peoples_republic,,人民共和国
FAE,republic,,共和国
FAE,state,,国
FIJ,kingdom,,王国
FIJ,republic,,共和国
FIJ,republic_classical_communism,,人民共和国
FIJ,republic_progressive_communism,,人民共和国
FIN,democratic_republic,,民主共和国
FIN,republic,,共和国
FLA,republic,,共和国
FLA,republic_classical_communism,,社会主義共和国
FLA,republic_progressive_communism,,社会主義共和国
FLO,republic,,共和国
FRA,commune_federation,,・コミューン連邦
FRA,empire,,帝国
FRA,kingdom,,王国
FRA,kingdom_vichy_government,,王国ヴィシー政府
FRA,republic,,共和国
FRA,republic_classical_communism,,人民共和国
FRA,republic_paris_government,,共和国パリ政府
FRA,republic_progressive_communism,,人民共和国
FRA,republic_vichy_government,,共和国ヴィシー政府
FRA,state,,国
FRA,state_paris_government,,国パリ政府
FRA,state_vichy_government,,国ヴィシー政府
FRA,united_republic,,連合共和国
FRA,united_republic_classical_communism,,人民連合共和国
FRA,united_republic_progressive_communism,,人民連合共和国
FRI,republic,,共和国
FSM,federated_states,,連邦
GAB,republic,,共和国
GAL,republic,,共和国
GAM,republic,,共和国
GDL,repbulic,,共和国
GEO,republic,,共和国
GER,antinazism_front,,反ナチス戦線
GER,bormann_provisional_government,,・ボルマン臨時政府
GER,bouhler_provisional_government,,・ボウラー臨時政府
GER,burgermilitar,,市民軍
GER,commune,,・コミューン
GER,confederate_states,,連合国
GER,darre_provisional_government,,・ダレ臨時政府
GER,democratic_republic,,民主共和国
GER,democratic_republic_0,,民主共和国
GER,democratic_republic_1,,民主共和国
GER,democratic_republic_2,,民主共和国
GER,democratic_republic_3,,民主共和国
GER,democratic_republic_4,,民主共和国
GER,eichmann_provisional_government,,・アイヒマン臨時政府
GER,defence_force_emergency_command,,国防軍非常司令部
GER,empire,,帝国
GER,empire_1,,帝国
GER,federal_republic,,連邦共和国
GER,federal_republic_0,,連邦共和国
GER,federal_republic_1,,連邦共和国
GER,federal_republic_2,,連邦共和国
GER,federal_republic_3,,連邦共和国
GER,federal_republic_4,,連邦共和国
GER,goebbels_provisional_government,,・ゲッベルス臨時政府
GER,goering_provisional_government,,・ゲーリング臨時政府
GER,henlein_provisional_government,,・ヘンライン臨時政府
GER,hess_consul_government,,・ヘス執政政府
GER,hess_provisional_government,,・ヘス臨時政府
GER,heydrich_provisional_government,,・ハイドリヒ臨時政府
GER,himmler_provisional_government,,・ヒムラー臨時政府
GER,jeckeln_provisional_government,,・イェッケルン臨時政府
GER,keitel_provisional_government,,・カイテル臨時政府
GER,national_republic,,国民共和国
GER,national_syndicalist_republic,,国民サンディカリスム共和国
GER,rate_republics_union,,・レーテ共和国連邦
GER,republic,,共和国
GER,republic_0,,共和国
GER,republic_1,,共和国
GER,republic_2,,共和国
GER,republic_3,,共和国
GER,republic_4,,共和国
GER,ribbentrop_provisional_government,,・リッベントロップ臨時政府
GER,rosneberg_provisional_government,,・ローゼンベルク臨時政府
GER,schepmann_provisional_government,,・シェップマン臨時政府
GER,schirach_provisional_government,,・シーラッハ臨時政府
GER,social_republic,,社会共和国
GER,speer_provisional_government,,・シュペーア臨時政府
GER,state,,国
GER,state_0,,国
GER,state_1,,国
GER,state_2,,国
GER,state_3,,国
GER,state_4,,国
GER,united_republic,,連合共和国
GER,united_republic_classical_communism,,社会主義連合共和国
GER,united_republic_progressive_communism,,社会主義連合共和国
GHA,republic,,共和国
GHA,republic_classical_communism,,人民共和国
GHA,republic_progressive_communism,,人民共和国
GLC,kingdom,,王国
GLC,republic,,共和国
GLC,republic_classical_communism,,社会主義共和国
GLC,republic_progressive_communism,,社会主義共和国
GNA,republic,,共和国
GNB,republic,,共和国
GRD,republic,,共和国
GRE,democratic_republic,,民主共和国
GRE,kingdom,,王国
GRE,republic,,共和国
GRL,republic,,共和国
GUA,republic,,共和国
GUA,republic_classical_communism,,社会主義共和国
GUA,republic_progressive_communism,,社会主義共和国
GUM,state,,国
GYA,republic,,共和国
HAI,republic,,共和国
HAN,kingdom,,王国
HAN,republic,,共和国
HAN,republic_classical_communism,,社会主義共和国
HAN,republic_progressive_communism,,社会主義共和国
HAW,kingdom,,王国
HAW,republic,,共和国
HEZ,kingdom,,王国
HOL,kingdom,,王国
HOL,republic,,共和国
HOL,republic_classical_communism,,社会主義共和国
HOL,republic_progressive_communism,,社会主義共和国
HON,republic,,共和国
HON,republic_classical_communism,,人民共和国
HON,republic_progressive_communism,,人民共和国
HRZ,republic,,共和国
HRZ,republic_classical_communism,,人民共和国
HRZ,republic_progressive_communism,,人民共和国
HUN,commune,,・コミューン
HUN,kingdom,,王国
HUN,national_salvation_government,,救国政府
HUN,national_salvation_government_classical_communism,,国民統一戦線
HUN,national_salvation_government_progressive_communism,,国民統一戦線
HUN,national_united_front,,国民統一戦線
HUN,republic,,共和国
HUN,republic_classical_communism,,人民共和国
HUN,republic_progressive_communism,,人民共和国
HUN,vanguard_commune,,・ヴァンガード・コミューン
HYD,kingdom,,王国
HYD,republic,,共和国
HYD,republic_classical_communism,,労働者共和国
HYD,republic_progressive_communism,,労働者共和国
IBE,empire,,帝国
IBE,regional_defence_council,,地域防衛評議会
IBE,union,,連合
IBE,union_classical_communism,,社会主義連合
IBE,union_progressive_communism,,社会主義連合
ICE,republic,,共和国
INC,union,,連合
IND,empire,,帝国
IND,national_republic,,国民共和国
IND,peoples_military_district,,人民軍管区
IND,peoples_republic,,人民共和国
IND,republic,,共和国
IND,republic_classical_communism,,社会主義共和国
IND,republic_progressive_communism,,社会主義共和国
ING,republic,,共和国
INO,union,,連合
INS,federation,,連邦
INS,federation_classical_communism,,社会主義連邦
INS,federation_progressive_communism,,社会主義連邦
INS,peoples_military_district,,人民軍管区
INS,republic,,共和国
INS,socialist_republic,,社会主義共和国
INS,united_republic,,連合共和国
INT,federal_republic,,連邦共和国
IRE,empire,,帝国
IRE,kingdom,,王国
IRE,republic,,共和国
IRE,republic_classical_communism,,社会主義共和国
IRE,republic_progressive_communism,,社会主義共和国
IRE,state,,国
IRQ,kingdom,,王国
IRQ,republic,,共和国
IRQ,republic_classical_communism,,社会主義共和国
IRQ,republic_progressive_communism,,社会主義共和国
ISR,state,,国
ISR,state_classical_communism,,社会主義国
ISR,state_progressive_communism,,社会主義国
ITA,empire,,帝国
ITA,federation,,連邦
ITA,kingdom,,王国
ITA,peoples_liberation_front,,人民解放戦線
ITA,republic,,共和国
ITA,social_republic,,社会共和国
IVO,republic,,共和国
JAK,kingdom,,王国
JAM,republic,,共和国
JAM,republic_classical_communism,,社会主義共和国
JAM,republic_progressive_communism,,社会主義共和国
JAP,buraku_liberation_league,,部落解放同盟
JAP,combined_syndicates,,労働組合連盟
JAP,confederate_states,,連合国
JAP,democratic_republic,,民主共和国
JAP,emirate,,首長国
JAP,empire,,帝国
JAP,exile_government,,亡命政府
JAP,farmers_union,,農民連合
JAP,federal_republic,,連邦共和国
JAP,federation,,連邦
JAP,free_territory,,自由地区
JAP,government_of_koreans,,朝鮮人政府
JAP,government_of_russians,,ロシア人政府
JAP,guillotine_alliance,,ギロチン同盟
JAP,kingdom,,王国
JAP,national_republic,,国民共和国
JAP,peoples_empire,,人民帝国
JAP,peoples_republic,,人民共和国
JAP,peoples_revolutionary_front,,人民革命戦線
JAP,peoples_syndicalist_alliance,,人民サンディカリスト連盟
JAP,republic,,共和国
JAP,restorationist_government,,復古派政府
JAP,salvation_alliance,,救済同盟
JAP,socialist_front,,社会主義戦線
JAP,socialist_republic,,社会主義共和国
JAP,soka_state,,創価国
JAP,state,,国
JAP,students_alliance,,学生同盟
JAP,students_marxist_league,,学生派マルクス主義同盟
JAP,suiheisha_republic,,水平社共和国
JAP,tenri_state,,天理国
JAP,united_republic,,連合共和国
JAP,workers_republic,,労働者共和国
JOR,hashemite_kingdom,,・ハシミテ王国
JOR,republic,,共和国
JOR,republic_classical_communism,,社会主義共和国
JOR,republic_progressive_communism,,社会主義共和国
KAC,independence_army,,独立軍
KAL,republic,,共和国
KAR,republic,,共和国
KAZ,republic,,共和国
KBK,republic,,共和国
KEN,republic,,共和国
KEN,unified_provisional_government,統一,臨時政府
KHA,republic,,共和国
KHA,republic_classical_communism,,社会主義共和国
KHA,republic_progressive_communism,,社会主義共和国
KHI,khanate,,・ハン国
KHI,republic,,共和国
KHK,republic,,共和国
KHM,state,,国
KIR,republic,,共和国
KKP,republic,,共和国
KLE,democratic_republic,,民主共和国
KNA,republic,,共和国
KOM,republic,,共和国
KOR,empire,,帝国
KOR,republic,,民国
KOS,republic,,共和国
KOS,republic_classical_communism,,社会主義共和国
KOS,republic_progressive_communism,,社会主義共和国
KRA,union,,連合
KRC,republic,,共和国
KRE,national_liberation_army,,民族解放軍
KSH,republic,,共和国
KUB,republic,,共和国
KUM,khanate,,・ハン国
KUM,republic,,共和国
KUM,republic_classical_communism,,人民共和国
KUM,republic_progressive_communism,,人民共和国
KUR,kingdom,,王国
KUR,republic,,共和国
KUW,republic,,共和国
KUW,republic_classical_communism,,社会主義共和国
KUW,republic_progressive_communism,,社会主義共和国
KUW,state,,国
KYR,republic,,共和国
LAO,kingdom,,王国
LAO,peoples_liberation_army,,人民解放軍
LAO,republic,,共和国
LAO,republic_classical_communism,,人民民主共和国
LAO,republic_progressive_communism,,人民民主共和国
LAP,federation,,連邦
LAT,republic,,共和国
LAT,state,,国
LBA,kingdom,,王国
LBA,republic,,共和国
LBA,republic_classical_communism,,人民共和国
LBA,republic_progressive_communism,,人民共和国
LCA,republic,,共和国
LEB,republic,,共和国
LEB,republic_classical_communism,,人民共和国
LEB,republic_progressive_communism,,人民共和国
LES,kingdom,,王国
LES,republic,,共和国
LES,republic_classical_communism,,人民共和国
LES,republic_progressive_communism,,人民共和国
LIB,republic,,共和国
LIB,republic_classical_communism,,労働者共和国
LIB,republic_progressive_communism,,労働者共和国
LIE,principality,,公国
LIE,republic,,共和国
LIE,republic_classical_communism,,人民共和国
LIE,republic_progressive_communism,,人民共和国
LIT,grand_duchy,,大公国
LIT,kingdom,,王国
LIT,republic,,共和国
LIT,state,,国
LIV,kingdom,,王国
LIV,republic,,共和国
LMK,republic,,共和国
LUI,republic,,共和国
LUX,grand_duchy,,大公国
LUX,republic,,共和国
LUX,republic_classical_communism,,社会主義共和国
LUX,republic_progressive_communism,,社会主義共和国
MAC,republic,,共和国
MAC,republic_classical_communism,,社会主義共和国
MAC,republic_progressive_communism,,社会主義共和国
MAD,republic,,共和国
MAD,republic_classical_communism,,人民共和国
MAD,republic_progressive_communism,,人民共和国
MAF,united_republic,,連合共和国
MAL,peoples_military_district,,人民軍管区
MAL,union,,連合
MAN,empire,,帝国
MAN,peoples_military_district,,人民軍管区
MAN,republic,,民国
MAN,republic_classical_communism,,人民共和国
MAN,republic_progressive_communism,,人民共和国
MCO,principality,,公国
MCO,republic,,共和国
MCO,republic_classical_communism,,社会主義共和国
MCO,republic_progressive_communism,,社会主義共和国
MDU,republic,,共和国
MEK,grand_duchy,,大公国
MEK,republic,,共和国
MEK,republic_classical_communism,,人民共和国
MEK,republic_progressive_communism,,人民共和国
MEL,republic,,共和国
MEN,autonomous_federation,,自治邦
MEN,military_government,,軍政府
MEN,republic,,民国
MEN,republic_classical_communism,,人民共和国
MEN,republic_progressive_communism,,人民共和国
MEX,empire,,帝国
MEX,insurgent,,反乱軍
MEX,republic,,共和国
MEX,republic_classical_communism,,社会主義共和国
MEX,republic_progressive_communism,,社会主義共和国
MEX,state,,国
MEX,united_states,,合衆国
MLD,republic,,共和国
MLD,republic_classical_communism,,社会主義共和国
MLD,republic_progressive_communism,,社会主義共和国
MLD,sultanate,,・スルタン国
MLI,republic,,共和国
MLT,republic,,共和国
MLW,republic,,共和国
MNT,kingdom,,王国
MNT,republic,,共和国
MNT,republic_classical_communism,,社会主義共和国
MNT,republic_progressive_communism,,社会主義共和国
MOL,republic,,共和国
MON,peoples_republic,,人民共和国
MON,republic,,共和国
MON,state,,国
MOR,kingdom,,王国
MOR,republic,,共和国
MOR,republic_classical_communism,,人民共和国
MOR,republic_progressive_communism,,人民共和国
MOS,grand_principality,,大公国
MOS,republic,,共和国
MOS,republic_classical_communism,,社会主義共和国
MOS,republic_progressive_communism,,社会主義共和国
MOU,republic,,共和国
MRD,republic,,共和国
MRT,isramic_republic,,・イスラム共和国
MUS,republic,,共和国
MWA,union,,連合
MYS,kingdom,,王国
MYS,republic,,共和国
MYS,republic_classical_communism,,人民共和国
MYS,republic_progressive_communism,,人民共和国
MZB,republic,,共和国
MZB,republic_classical_communism,,人民共和国
MZB,republic_progressive_communism,,人民共和国
NAV,kingdom,,王国
NAV,republic,,共和国
NAV,republic_classical_communism,,人民共和国
NAV,republic_progressive_communism,,人民共和国
NCL,republic,,共和国
NEL,republic,,共和国
NEL,republic_classical_communism,,社会主義共和国
NEL,republic_progressive_communism,,社会主義共和国
NEL,united_states,,合衆国
NEN,republic,,共和国
NEP,federal_democratic_republic,,連邦民主共和国
NEP,kingdom,,王国
NFL,republic,,共和国
NFL,republic_classical_communism,,社会主義共和国
NFL,republic_progressive_communism,,社会主義共和国
NFR,republic,,共和国
NGA,federation_republic,,連邦共和国
NGR,republic,,共和国
NIC,republic,,共和国
NIC,republic_classical_communism,,人民共和国
NIC,republic_progressive_communism,,社会主義人民共和国
NIR,duchy,,公国
NIU,republic,,共和国
NMB,republic,,共和国
NOA,republic,,共和国
NOR,empire,,帝国
NOR,kingdom,,王国
NOR,kingdom_1,,王国
NOR,liberation_front,,解放戦線
NOR,republic,,共和国
NOR,state,,国
NOR,union,,連合
NRU,republic,,共和国
NZL,kingdom,,王国
NZL,realm,,王国
NZL,republic,,共和国
NZL,republic_classical_communism,,人民共和国
NZL,republic_progressive_communism,,人民共和国
OCC,republic,,共和国
OKL,republic,,共和国
OMA,imamate,,・イマーム国
OMA,republic,,共和国
OMA,republic_classical_communism,,人民共和国
OMA,republic_progressive_communism,,人民共和国
OMA,sultanate,,・スルタン国
ORM,republic,,共和国
ORM,republic_classical_communism,,社会主義共和国
ORM,republic_progressive_communism,,社会主義共和国
OUB,republic,,共和国
OVO,republic,,共和国
PAK,islamic_republic,,・イスラム共和国
PAK,national_republic,,国民共和国
PAL,republic,,共和国
PAL,republic_classical_communism,,民主共和国
PAL,republic_progressive_communism,,民主共和国
PAL,state,,国
PAN,republic,,共和国
PAN,republic_classical_communism,,社会主義共和国
PAN,republic_progressive_communism,,社会主義共和国
PAO,community,,共同体
PAR,republic,,共和国
PER,empire,,帝国
PHI,republic,,共和国
PHI,republic_classical_communism,,社会主義共和国
PHI,republic_progressive_communism,,社会主義共和国
PLW,republic,,共和国
PNG,independent_state,,独立国
POI,republic,,共和国
POL,empire,,帝国
POL,exile_government,,亡命政府
POL,kingdom,,王国
POL,people_republic,,人民共和国
POL,republic,,共和国
POL,republic_classical_communism,,社会主義共和国
POL,republic_progressive_communism,,社会主義共和国
POL,state,,国
POR,kingdom,,王国
POR,republic,,共和国
POR,republic_classical_communism,,社会主義共和国
POR,republic_progressive_communism,,社会主義共和国
PRE,democratic_republic,,民主共和国
PRE,kingdom,,王国
PRU,republic,,共和国
PRU,republic_classical_communism,,社会主義共和国
PRU,republic_progressive_communism,,社会主義共和国
PRV,republic,,共和国
PUE,state,,国
QAT,state,,国
QAT,state_classical_communism,,社会主義国
QAT,state_progressive_communism,,社会主義国
QUB,republic,,共和国
RCG,republic,,共和国
RHO,republic,,共和国
RIF,tribes_confederal_republic,,部族連邦共和国
RMN,republic,,共和国
ROM,kingdom,,王国
ROM,legion_state,,軍団国
ROM,republic,,共和国
ROM,republic_classical_communism,,社会主義共和国
ROM,republic_progressive_communism,,社会主義共和国
RUS,aristocratic_council,,貴族評議会
RUS,confederate_states,,連合国
RUS,empire,,帝国
RUS,federation,,連邦
RUS,free_territory,,自由地区
RUS,liberation_army,,解放軍
RUS,republic,,共和国
RUS,republic_classical_communism,,社会主義共和国
RUS,republic_progressive_communism,,社会主義共和国
RUS,sky_liberation_alliance,,の空解放同盟
RUS,state,,国
RUS,united_states,,合衆国
RWA,kingdom,,王国
RWA,republic,,共和国
RWA,republic_classical_communism,,労働者共和国
RWA,republic_progressive_communism,,労働者共和国
SAC,nations_union,,諸国連合
SAF,republic,,共和国
SAF,republic_classical_communism,,社会主義共和国
SAF,republic_progressive_communism,,社会主義共和国
SAF,union,,連邦
SAM,independent_state,,独立国
SAR,raj,,王国
SAR,republic,,共和国
SAR,republic_classical_communism,,人民共和国
SAR,republic_progressive_communism,,人民共和国
SAU,kingdom,,王国
SAX,kingdom,,王国
SAX,republic,,共和国
SAX,republic_classical_communism,,社会主義共和国
SAX,republic_progressive_communism,,社会主義共和国
SCA,federation,,連邦
SCA,united_kingdom,,連合王国
SCO,empire,,帝国
SCO,kingdom,,王国
SCO,republic,,共和国
SCO,republic_classical_communism,,労働者共和国
SCO,republic_progressive_communism,,労働者共和国
SEN,republic,,共和国
SER,kingdom,,王国
SER,republic,,共和国
SER,republic_classical_communism,,社会主義共和国
SER,republic_progressive_communism,,社会主義共和国
SHA,state_army,,州軍
SHL,duchy,,公国
SHL,republic,,共和国
SHL,republic_classical_communism,,社会主義共和国
SHL,republic_progressive_communism,,社会主義共和国
SHX,faction,,派
SHX,warlord,,軍閥
SIA,empire,,帝国
SIA,kingdom,,王国
SIA,republic,,共和国
SIB,republic,,共和国
SIB,republic_classical_communism,,社会主義共和国
SIB,republic_progressive_communism,,社会主義共和国
SIC,republic,,共和国
SIC,republic_classical_communism,,人民共和国
SIC,republic_progressive_communism,,人民共和国
SIE,republic,,共和国
SIK,faction,,派
SIK,warlord,,軍閥
SIL,republic,,共和国
SIN,republic,,共和国
SIN,republic_classical_communism,,社会主義共和国
SIN,republic_progressive_communism,,社会主義共和国
SKM,kingdom,,王国
SKM,republic,,共和国
SKM,republic_classical_communism,,民主共和国
SKM,republic_progressive_communism,,民主共和国
SLO,republic,,共和国
SLO,republic_classical_communism,,社会主義共和国
SLO,republic_progressive_communism,,社会主義共和国
SLV,republic,,共和国
SLV,republic_classical_communism,,社会主義共和国
SLV,republic_progressive_communism,,社会主義共和国
SML,republic,,共和国
SML,republic_classical_communism,,社会主義共和国
SML,republic_progressive_communism,,社会主義共和国
SML,state,,国
SMR,most_serene_republic,晴朗極まる,共和国
SOA,repulic,,共和国
SOL,republic,,共和国
SOM,boqorate,,王国
SOM,federal_republic,,連邦共和国
SOM,republic,,共和国
SOM,republic_classical_communism,,民主共和国
SOM,republic_progressive_communism,,民主共和国
SOV,14th_army,,第14軍
SOV,provisional_government,,臨時政府
SOV,republics_union,,共和国連邦
SOV,republics_union_classical_communism,,社会主義共和国連邦
SOV,republics_union_progressive_communism,,社会主義共和国連邦
SPR,armado_social_republic,,・アルマド社会共和国
SPR,commune,,・コミューン
SPR,corporate_council,,企業評議会
SPR,emergency_exile_government,,緊急亡命政府
SPR,empire,,帝国
SPR,exile_government,,亡命政府
SPR,kingdom,,王国
SPR,national_republic,,国民共和国
SPR,republic,,共和国
SPR,social_republic,,社会共和国
SPR,state,,国
SRA,republic,,共和国
SRA,republic_classical_communism,,社会主義共和国
SRA,republic_progressive_communism,,社会主義共和国
SRD,republic,,共和国
SRL,republic,,共和国
SSD,republic,,共和国
STP,democratic_republic,,民主共和国
SUD,republic,,共和国
SUD,republic_classical_communism,,民主共和国
SUD,republic_progressive_communism,,民主共和国
SUR,republic,,共和国
SWE,kingdom,,王国
SWE,republic,,共和国
SWI,confederation,,連邦
SWI,confederation_classical_communism,,社会主義連邦
SWI,confederation_progressive_communism,,社会主義連邦
SWL,kingdom,,王国
SWL,republic,,共和国
SWL,republic_classical_communism,,社会主義共和国
SWL,republic_progressive_communism,,社会主義共和国
SYC,republic,,共和国
SYR,republic,,共和国
SZE,natinal_government,,国民政府
TAH,kingdom,,王国
TAJ,republic,,共和国
TAN,republic,,共和国
TAT,republic,,共和国
TAY,republic,,共和国
TER,state,,国
TEU,order_state,,騎士団国
TEX,republic,,共和国
TIB,empire,,帝国
TIB,kingdom,,王国
TIB,state,,国
TIB,state_classical_communism,,社会主義国
TIB,state_progressive_communism,,社会主義国
TLS,democratic_republic,,民主共和国
TMS,republic,,共和国
TOG,republic,,共和国
TOG,republic_classical_communism,,人民共和国
TOG,republic_progressive_communism,,人民共和国
TON,kingdom,,王国
TON,united_republic,,連合共和国
TRA,democratic_republic,,民主共和国
TRA,duchy,,公国
TRC,state,,国
TRI,republic,,共和国
TRK,legion,,軍団
TRV,kingdom,,王国
TRV,republic,,共和国
TRV,republic_classical_communism,,社会主義共和国
TRV,republic_progressive_communism,,社会主義共和国
TUN,kingdom,,王国
TUN,republic,,共和国
TUN,republic_classical_communism,,民主共和国
TUN,republic_progressive_communism,,民主共和国
TUR,republic,,共和国
TUR,republic_classical_communism,,民主共和国
TUR,republic_progressive_communism,,民主共和国
TUS,republic,,共和国
TUS,republic_classical_communism,,社会主義共和国
TUS,republic_progressive_communism,,社会主義共和国
TUV,republic,,共和国
TUV,republic_classical_communism,,人民共和国
TUV,republic_progressive_communism,,人民共和国
TVL,republic,,共和国
TWN,empire,,帝国
TWN,kingdom,,王国
TWN,republic,,共和国
TWN,state,,国
TZN,united_republic,,連合共和国
UAE,united_emirates,,首長国連邦
UDM,republic,,共和国
UEL,entente_state,,協商国
UGA,republic,,共和国
UKR,free_territory,,自由地区
UKR,hetmanate,,・ヘーチマン国
UKR,national_republic,,国民共和国
UKR,orthodox_territory,,正教会領
